Date,Open,High,Low,Close,Volume
2020-02-14,3370.5,3380.7,3364.6,3380.2,3200000000
2020-02-18,3369.0,3375.2,3355.9,3370.3,3350000000
2020-02-19,3380.1,3393.5,3378.1,3386.1,3100000000
2020-02-20,3380.9,3389.1,3341.0,3373.2,3900000000
2020-02-21,3360.5,3360.8,3328.5,3337.7,4100000000
2020-02-24,3257.6,3259.8,3214.6,3225.9,5200000000
2020-02-25,3238.9,3246.0,3118.8,3128.2,6100000000
2020-02-26,3139.9,3168.6,3094.5,3116.4,5800000000
2020-02-27,3062.5,3097.1,2977.4,2978.8,7300000000
2020-02-28,2916.9,2959.7,2855.8,2954.2,8500000000
2020-03-02,2974.3,3090.9,2945.2,3090.2,6400000000
2020-03-03,3096.5,3136.7,2976.6,3003.4,6600000000
2020-03-04,3045.7,3130.9,3034.4,3130.1,5300000000
2020-03-05,3075.7,3083.0,2999.8,3023.9,5800000000
2020-03-06,2954.2,2985.9,2901.5,2972.4,6500000000
2020-03-09,2863.9,2863.9,2734.4,2746.6,8400000000
2020-03-10,2813.5,2882.4,2734.0,2882.2,7600000000
2020-03-11,2825.6,2825.6,2707.2,2741.4,7100000000
2020-03-12,2630.9,2660.9,2478.9,2480.6,8800000000
2020-03-13,2569.9,2711.3,2492.4,2711.0,8300000000
2020-03-16,2508.6,2562.9,2367.0,2386.1,7800000000
2020-03-17,2425.6,2553.9,2367.0,2529.2,7500000000
2020-03-18,2436.5,2453.6,2280.5,2398.1,7900000000
2020-03-19,2393.5,2466.9,2319.8,2409.4,7300000000
2020-03-20,2431.9,2453.0,2295.6,2304.9,9100000000
2020-03-23,2290.7,2300.7,2191.9,2237.4,7200000000
2020-03-24,2344.4,2449.7,2344.4,2447.3,7400000000
2020-03-25,2457.8,2571.4,2407.5,2475.6,7600000000
2020-03-26,2501.3,2637.0,2500.7,2630.1,7000000000
2020-03-27,2555.9,2615.9,2520.0,2541.5,6300000000
2020-03-30,2558.9,2631.8,2545.3,2626.7,5500000000
2020-03-31,2614.7,2641.4,2571.1,2584.6,5800000000
2020-04-01,2498.1,2522.8,2447.5,2470.5,5900000000
2020-04-02,2500.9,2533.2,2455.8,2526.9,5600000000
2020-04-03,2514.9,2538.2,2459.9,2488.7,5200000000
2020-04-06,2578.3,2676.9,2574.6,2663.7,5800000000
2020-04-07,2738.6,2756.9,2657.9,2659.4,6100000000
2020-04-08,2685.0,2760.7,2685.0,2749.9,5400000000
2020-04-09,2776.9,2818.6,2762.9,2789.8,5700000000
2020-04-13,2782.4,2782.4,2721.2,2761.6,4800000000
